"","song","album","year","url","lyrics"
"21","Song For Bob Dylan","Hunky Dory","1971","http://www.azlyrics.com/lyrics/davidbowie/songforbobdylan.html","

Oh, hear this Robert Zimmerman
I wrote a song for you
About a strange young man 
called Dylan
With a voice like sand and glue
His words of truthful vengeance
They could pin us to the floor
Brought a few more people on
And put the fear in a whole lot more

Ah, Here she comes
Here she comes
Here she comes again
The same old painted lady
From the brow of a superbrain
She'll scratch this world to pieces
As she comes on like a friend
But a couple of songs
From your old scrapbook
Could send her home again

You gave your heart to every bedsit room
At least a picture on my wall
And you sat behind a million pair of eyes
And told them how they saw
Then we lost your train of thought
The paintings are all your own
While troubles are rising
We'd rather be scared
Together than alone

Ah, Here she comes...[etc.]

Now hear this Robert Zimmerman
Though I don't suppose we'll meet
Ask your good friend Dylan
If he'd gaze a while
down the old street
Tell him we've lost his poems
So they're writing on the walls
Give us back our unity
Give us back our family
You're every nation's refugee
Don't leave us with their sanity

Ah, Here she comes....[etc.]
"
"22","Ziggy Stardust","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars","1972","http://www.azlyrics.com/lyrics/davidbowie/ziggystardust.html","

Ziggy played guitar, jamming good with Wierd and Gilly,
And The Spiders from Mars.
He played it left hand, but made it too far,
Became the special man,
Then we were Ziggy's Band.

Ziggy really sang, screwed up eyes and screwed down hairdo
Like some cat from Japan, he could lick 'em by smiling
He could leave 'em to hang
Here came on so loaded man, well hung and snow white tan.

So where were the spiders while the fly tried to break our balls?
Just the beer light to guide us.
So we bitched about his fans and should we crush his sweet hands?

Ziggy played for time, jiving us that we were Voodoo
The kids was just crass,
He was the naz
With God given ass
He took it all too far
But boy could he play guitar.

Making love with his ego Ziggy sucked up into his mind
Like a leper messiah
When the kids had killed the man
I had to break up the band

Ziggy played guitar
"
"23","The Man Who Sold The World","The Man Who Sold The World","1970","http://www.azlyrics.com/lyrics/davidbowie/themanwhosoldtheworld.html","

We passed upon the stair, we spoke of was and when
Although I wasn't there, he said I was his friend
Which came as some surprise I spoke into his eyes
I thought you died alone, a long long time ago

Oh no, not me
I never lost control
You're face to face
With The Man Who Sold The World

I laughed and shook his hand, and made my way back home
I searched for form and land, for years and years I roamed

I gazed a gazely stare at all the millions here
We must have died alone, a long long time ago

Who knows? not me
We never lost control
You're face to face
With the Man who Sold the World
"
"24","Running Gun Blues","The Man Who Sold The World","1970","http://www.azlyrics.com/lyrics/davidbowie/runninggunblues.html","

I count the corpses on my left, I find I'm not so tidy
So I better get away, better make it today
I've cut twenty-three down since Friday
But I can't control it, my face is drawn
My instinct still emotes it

I slash them cold, I kill them dead
I broke the gooks, I cracked their heads
I'll bomb them out from under the beds
But now I've got the running gun blues

It seems the peacefuls stopped the war
Left generals squashed and stifled
But I'll slip out again tonight
Cause they haven't taken back my rifle
For I promote oblivion
And I'll plug a few civilians

I'll slash them cold, I'll kill them dead
I'll break them gooks, I'll crack their heads
I'll slice them till they're running red
But now I've got the running gun blues
"
"25","Width Of A Circle","The Man Who Sold The World","1970","http://www.azlyrics.com/lyrics/davidbowie/widthofacircle.html","

In the corner of the morning in the past
I would sit and blame the master first and last
All the roads were straight and narrow
And the prayers were small and yellow
And the rumour spread that I was aging fast
Then I ran across a monster who was sleeping by a tree.

And I looked and frowned and the monster was me

Well, I said hello and I said hello
And I asked ""Why not?"" and I replied ""I don't know""
So we asked a simple black bird, who was happy as can be

And he laughed insane and quipped ""KAHLIL GIBRAN""
So I cried for all the others till the day was nearly through
For I realized that God's a young man too

So I said ""So long"" and I waved ""Bye-bye""
And I smashed my soul and traded my mind

Got laid by a young bordello
I was vaguely half asleep
For which my reputation swept back home in drag

And the moral of this magic spell
Negotiates my hide
When God did take my logic for a ride
(Riding along)

He swallowed his pride and puckered his lips
And showed me the leather belt round his hips
My knees were shaking my cheeks aflame
He said ""You'll never go down to the Gods again""
(Turn around,go back!)

He struck the ground a cavern appeared
And I smelt the burning pit of fear
We crashed a thousand yards below
I said ""Do it again, do it again""
(Turn around,go back!)

His nebulous body swayed above
His tongue swollen with devil's love
The snake and I, a venom high
I said ""Do it again, do it again""
(Turn around, go back!)

Breathe, breathe, breathe deeply

And I was seething, breathing deeply
Spitting sentry, horned and tailed

Waiting for you
"
"26","An Occasional Dream","Space Oddity","1969","http://www.azlyrics.com/lyrics/davidbowie/anoccasionaldream.html","

I recall how we lived
On the corner of a bed
And we'd speak of a Swedish room
Of hessian and wood
And we'd talk with our eyes
Of the sweetness in our lives
And tomorrows of rich surprise...
Some things we could do

In our madness
We burnt one hundred days
Time takes time to pass
And I still hold some ashes to me
An Occasional Dream

And we'd sleep, oh so close
But not really close our eyes
'Tween the sheets of summer 
bathed in blue...
Gently weeping nights
It was long, long ago
And I can't touch your name

For the days of fate 
were strong for you...
Danced you far from me

In my madness
I see your face in mine
I keep a photograph
It burns my wall with time
Time
An Occasional Dream
Of mine
An Occasional Dream
Of mine
An Occasional Dream
Of mine
"
"27","Love You Till Tuesday","David Bowie","1967","http://www.azlyrics.com/lyrics/davidbowie/loveyoutilltuesday.html","

Just look through your window, look who sits outside
Little me is waiting, standing through the night
When you'll walk through your door I'll wave my flag and shout

Oh, beautiful baby
My burning desire started on Sunday
Give me your heart and I'll love you till Tuesday
Da da da dum [x4]

Who's that hiding in the apple tree, clinging to a branch

Don't be afraid it's only me, hoping for a little romance

If you lie beneath my shade, I'll keep you nice and cool

Oh, beatiful baby
I was very lonely till I met you on Sunday
My passion's never-ending and I'll love you till Tuesday
Da da da dum [x7]
Let the wind blow through your hair, be nice to the big blue sea
Don't be afraid of the man in the moon, because it's only me

I shall always watch you until my love runs dry

Oh, beautiful baby
My heart's a flame, I'll love you till Tuesday
My head's in a whirl and I'll love you till Tuesday

Love, love, love, love you till Tuesday [x2]
Da da da dum [x11]

Well, I might stretch it till Wednesday
"
"28","She Shook Me Cold","The Man Who Sold The World","1970","http://www.azlyrics.com/lyrics/davidbowie/sheshookmecold.html","

We met upon a hill, the night was cool and still
She sucked my dormant will
Mother, she blew my brain, I will go back again
My God, she shook me cold

I had no time to spare, I grabbed her golden hair
And threw her to the ground
Father, she craved my head, Oh Lord, the things she said
My God, she should be told

I was very smart, broke the gentle hearts
Of many young virgins

I was quick on the ball, left them so lonely
They'd just give up trying

Then she took my head, smashed it up
Kept my young blood rising
Crushed me mercilessly, kept me going around

So she didn't know I crave her so-o-o

I'll give my love in vain, to reach that peak again
We met upon a hill
Mother, she blew my brain, I will go back again
My God, she shook me cold
"
"29","Janine","Space Oddity","1969","http://www.azlyrics.com/lyrics/davidbowie/janine.html","

Oh my love, Janine
I'm helpless for your smile
Like a Polish wanderer
I travel ever onwards to your land
And were it not just for the jewels, I'd close your hand

Your strange demand
To 'collocate' my mind
Scares me into gloom
You're too intense
I'll have to keep you in your place
I've no defence
I've got to keep my veil on my face

Janine, Janine, you'd like to know me well
But I've got things inside my head
That even I can't face

Janine, Janine, you'd like to crash 
my walls
But if you take an axe to me
You'll kill another man
Not me at all

You're fey, Janine
A tripper to the last
But if I catch you standing on my toes
I'll have a right to shout you down
For you're a lazy stream
In which my thoughts would drown

So stay, Janine
And we can glide along
I've caught your wings for laughs
I'm not obliged to read you statements of the year
So take your glasses off
And don't act so sincere

Janine, Janine, you'd like to know me well
But I've got things inside my head
That even I can't face

Janine, Janine, you'd like to crash
my walls
But if you take an axe to me
You'll kill another man
Not me at all
"
"30","Maid Of Bond Street","David Bowie","1967","http://www.azlyrics.com/lyrics/davidbowie/maidofbondstreet.html","

This girl is made of lipstick
Powder and paint
Sees the picture of herself
Every magazine on every shelf
This girl is maid of bond street
Hailing cabs, lunches with executives
Gleaming teeth sip aperitifs
This girl is a lonely girl
Takes the train from Paddington to Oxford Circus
Buys the Daily News
But passengers don't smile at her, don't smile at her
This girl is made of loneliness
A broken heart
For the boy she once knew
Doesn't want to know her any more
And this girl is a lonely girl
Everything she wants is hers
But she can't make it with the boy she really wants to be with
All the time, to love, all the time 
This boy is made of envy
Jealousy
He doesn't have a limousine
Really wants to be a star himself
This girl, her world is made of flashlights and films 

Her cares are scraps on the cutting room floor

And maids of bond street drive round in chauffered cars
Maids of Bond street picture clothes, eyes of star 
Maids of Bond street shouldn't have worldly cares

Maids of Bond street shouldn't have love affairs
"
"31","We Are Hungry Men","David Bowie","1967","http://www.azlyrics.com/lyrics/davidbowie/wearehungrymen.html","

[spoken]
Here is the news
According the latest world population survey
The figures have reached danger point, my god
London 15 million 75 thousand
New York 80 million
Paris 15 million and 30
China 1000 million
Billington-Spa: lots

My studies include suffragy
I formed my own society
To study the power of fecundity
The world will overpopulate
Unless you claim infertility
So who will buy a drink for me, your Messiah 

[CHORUS]
We are not your friends 
We don't give a damn for what you're saying 
We're here to live our lives
I propose to give the pill
Free of charge to those that feel
That they are not infertible
The crops of few, the cattle gun
There's only one way to linger on
So who will buy a drink for me, your 
Messiah

[CHORUS]
[spoken]
Achtung, achtung, these are your orders
Anyone found guilty of consuming more than their 
allotted amount of air
Will be slaughtered and cremated
One only cubic foot of air is :
I have prepared a document, legalising mass abortion
We will turn a blind eye to infanticide 

[CHORUS]
You don't seem to hear me clear
Do I talk about your sphere?
Let me explain my project dear
Show you how I'll save the world
Or let it die within the year
Why do you look that way at me, your messiah

[CHORUS]
We are hungry men
We don't give a damn for what you're saying
We're here to eat you
"
